timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:27:00.474,Ashton3,right,4.267,256,,,,,,,2.3757,0.4695,2.4513,3.1736,3.1736,6.6860
2026-06-15 16:27:00.505,Ashton3,right,4.267,256,,,,,,,2.3911,0.4780,2.4588,3.1501,3.1501,6.6344
2026-06-15 16:27:00.536,Ashton3,right,4.267,256,,,,,,,2.3994,0.4907,2.4723,3.1571,3.1571,6.7342
2026-06-15 16:27:00.567,Ashton3,right,4.267,256,,,,,,,2.4291,0.5303,2.5164,3.1095,3.1095,6.8393
2026-06-15 16:27:00.598,Ashton3,right,4.267,256,,,,,,,2.4571,0.5424,2.5682,3.1255,3.1255,6.8702
2026-06-15 16:27:00.628,Ashton3,right,4.267,256,,,,,,,2.4678,0.5731,2.6257,3.1654,3.1654,7.0125
2026-06-15 16:27:00.659,Ashton3,right,4.267,256,,,,,,,2.4784,0.5653,2.6700,3.1970,3.1970,7.1159
2026-06-15 16:27:00.690,Ashton3,right,4.267,256,,,,,,,2.4548,0.5668,2.6944,3.2359,3.2359,7.2734
2026-06-15 16:27:00.721,Ashton3,right,4.267,256,,,,,,,2.4572,0.5800,2.7135,3.2634,3.2634,7.2839
2026-06-15 16:27:00.751,Ashton3,right,4.267,256,,,,,,,2.4409,0.6337,2.7427,3.3178,3.3178,7.4002
2026-06-15 16:27:00.782,Ashton3,right,0.000,-1,,,,,,,2.4111,0.6757,2.7696,3.3558,3.3558,7.4764
2026-06-15 16:27:00.812,Ashton3,right,0.033,2,,,,,,,2.4154,0.7071,2.7653,3.3344,3.3344,7.3724
2026-06-15 16:27:00.843,Ashton3,right,0.050,3,,,,,,,2.4185,0.7114,2.7598,3.3358,3.3358,7.3361
2026-06-15 16:27:00.874,Ashton3,right,0.083,5,,,,,,,2.4482,0.7291,2.7407,3.2879,3.2879,7.0850
2026-06-15 16:27:00.904,Ashton3,right,0.100,6,,,,,,,2.4603,0.7370,2.7329,3.2397,3.2397,6.7596
2026-06-15 16:27:00.935,Ashton3,right,0.133,8,,,,,,,2.4397,0.7466,2.7521,3.1652,3.1652,6.5309
2026-06-15 16:27:00.965,Ashton3,right,0.167,10,,,,,,,2.4198,0.7759,2.8133,3.0675,3.0675,6.3537
2026-06-15 16:27:00.996,Ashton3,right,0.200,12,,,,,,,2.4078,0.7811,2.8461,3.0550,3.0550,6.2635
2026-06-15 16:27:01.026,Ashton3,right,0.233,14,,,,,,,2.3955,0.7701,2.8931,3.0312,3.0312,6.1501
2026-06-15 16:27:01.057,Ashton3,right,0.267,16,,,,,,,2.3800,0.7315,2.9003,3.0171,3.0171,6.0649
2026-06-15 16:27:01.087,Ashton3,right,0.283,17,,,,,,,2.0186,0.6320,2.8865,3.0291,3.0291,5.7103
2026-06-15 16:27:01.118,Ashton3,right,0.317,19,,,,,,,1.6450,0.5805,2.8870,3.1092,3.1092,5.6584
2026-06-15 16:27:01.148,Ashton3,right,0.350,21,,,,,,,1.4743,0.5715,2.8771,3.1518,3.1518,5.6769
2026-06-15 16:27:01.179,Ashton3,right,0.383,23,,,,,,,1.3944,0.5624,2.8530,3.1536,3.1536,5.6940
2026-06-15 16:27:01.210,Ashton3,right,0.417,25,,,,,,,1.3681,0.5545,2.8370,3.1406,3.1406,5.7117
2026-06-15 16:27:01.241,Ashton3,right,0.450,27,,,,,,,1.3720,0.5115,2.7679,3.1441,3.1441,5.6551
2026-06-15 16:27:01.271,Ashton3,right,0.467,28,,,,,,,1.3658,0.4691,2.7057,3.1492,3.1492,5.6216
2026-06-15 16:27:01.302,Ashton3,right,0.500,30,,,,,,,1.3722,0.4505,2.6854,3.1562,3.1562,5.6301
2026-06-15 16:27:01.332,Ashton3,right,0.533,32,,,,,,,1.3479,0.4337,2.6673,3.2107,3.2107,5.8223
2026-06-15 16:27:01.362,Ashton3,right,0.567,34,,,,,,,1.3282,0.4256,2.6756,3.2439,3.2439,5.9183
2026-06-15 16:27:01.393,Ashton3,right,0.600,36,,,,,,,1.2990,0.4492,2.6880,3.2959,3.2959,6.0595
2026-06-15 16:27:01.423,Ashton3,right,0.633,38,,,,,,,1.2696,0.4436,2.7029,3.3072,3.3072,6.1742
2026-06-15 16:27:01.454,Ashton3,right,0.650,39,,,,,,,1.2381,0.4129,2.7115,3.3284,3.3284,6.2491
2026-06-15 16:27:01.484,Ashton3,right,0.683,41,,,,,,,1.2398,0.4190,2.7063,3.3614,3.3614,6.2773
2026-06-15 16:27:01.516,Ashton3,right,0.717,43,,,,,,,1.2522,0.4186,2.7047,3.3886,3.3886,6.3123
2026-06-15 16:27:01.547,Ashton3,right,0.750,45,,,,,,,1.2666,0.4180,2.7000,3.3911,3.3911,6.3584
2026-06-15 16:27:01.578,Ashton3,right,0.783,47,,,,,,,1.3001,0.4193,2.6751,3.3526,3.3526,6.3496
2026-06-15 16:27:01.608,Ashton3,right,0.817,49,,,,,,,1.2957,0.4002,2.6650,3.3946,3.3946,6.4571
2026-06-15 16:27:01.639,Ashton3,right,0.850,51,,,,,,,1.3051,0.3827,2.6486,3.4490,3.4490,6.5896
2026-06-15 16:27:01.670,Ashton3,right,0.867,52,,,,,,,1.3358,0.3678,2.6249,3.3947,3.3947,6.4341
