timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:31:16.232,Chong,right,0.033,2,,,,,,,1.3059,-0.3156,8.5617,4.7167,4.7167,13.0532
2026-06-15 16:31:16.263,Chong,right,0.033,2,,,,,,,1.3027,-0.3841,8.5594,4.7119,4.7119,13.0092
2026-06-15 16:31:16.293,Chong,right,0.033,2,,,,,,,1.3240,-0.4629,8.5496,4.7053,4.7053,12.9245
2026-06-15 16:31:16.324,Chong,right,0.033,2,,,,,,,1.3363,-0.4952,8.5403,4.7377,4.7377,12.9828
2026-06-15 16:31:16.355,Chong,right,0.033,2,,,,,,,1.3613,-0.5332,8.5259,4.7828,4.7828,13.1664
2026-06-15 16:31:16.386,Chong,right,0.033,2,,,,,,,1.4231,-0.5191,8.5290,4.7065,4.7065,13.3067
2026-06-15 16:31:16.416,Chong,right,0.033,2,,,,,,,1.4737,-0.4135,8.5228,4.6851,4.6851,13.0851
2026-06-15 16:31:16.447,Chong,right,0.033,2,,,,,,,1.5140,-0.3369,8.5224,4.6504,4.6504,13.1120
2026-06-15 16:31:16.477,Chong,right,0.033,2,,,,,,,1.6364,-0.2275,8.4967,4.7322,4.7322,13.3673
2026-06-15 16:31:16.508,Chong,right,0.033,2,,,,,,,1.8226,-0.0750,8.4617,4.7130,4.7130,13.4119
2026-06-15 16:31:16.538,Chong,right,0.017,1,,,,,,,1.8743,0.0035,8.4171,4.7176,4.7176,13.4299
2026-06-15 16:31:16.568,Chong,right,0.050,3,,,,,,,1.9675,0.1553,8.3530,4.7035,4.7035,13.4126
2026-06-15 16:31:16.599,Chong,right,0.083,5,,,,,,,1.9647,0.3109,8.2874,4.6532,4.6532,13.3201
2026-06-15 16:31:16.630,Chong,right,0.100,6,,,,,,,1.8816,0.4268,8.2468,4.6657,4.6657,13.0174
2026-06-15 16:31:16.660,Chong,right,0.133,8,,,,,,,1.7515,0.5012,8.2258,4.6112,4.6112,12.7823
2026-06-15 16:31:16.691,Chong,right,0.167,10,,,,,,,1.6826,0.5213,8.2281,4.5880,4.5880,12.6077
2026-06-15 16:31:16.722,Chong,right,0.200,12,,,,,,,1.6235,0.4341,8.2561,4.5174,4.5174,12.1601
2026-06-15 16:31:16.752,Chong,right,0.233,14,,,,,,,1.6902,0.2430,8.2823,4.4735,4.4735,11.8463
2026-06-15 16:31:16.783,Chong,right,0.250,15,,,,,,,1.7595,-0.0005,8.3041,4.4815,4.4815,11.7063
