timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:42:18.425,Igor,right,0.050,3,,,,,,,0.2514,-1.2205,5.1123,3.8618,3.8618,9.3977
2026-06-15 16:42:18.456,Igor,right,0.050,3,,,,,,,0.2706,-1.2343,5.1306,3.8648,3.8648,9.4144
2026-06-15 16:42:18.486,Igor,right,0.050,3,,,,,,,0.2532,-1.2291,5.1399,3.8580,3.8580,9.4588
2026-06-15 16:42:18.517,Igor,right,0.050,3,,,,,,,0.2298,-1.2285,5.1559,3.8545,3.8545,9.5568
2026-06-15 16:42:18.548,Igor,right,0.050,3,,,,,,,0.2294,-1.1971,5.1583,3.8011,3.8011,9.4177
2026-06-15 16:42:18.578,Igor,right,0.050,3,,,,,,,0.2365,-1.1980,5.1523,3.7590,3.7590,9.2959
2026-06-15 16:42:18.609,Igor,right,0.050,3,,,,,,,0.2464,-1.2474,5.1381,3.7645,3.7645,9.2756
2026-06-15 16:42:18.639,Igor,right,0.050,3,,,,,,,0.2522,-1.2829,5.1322,3.7425,3.7425,9.2194
2026-06-15 16:42:18.670,Igor,right,0.050,3,,,,,,,0.2791,-1.3535,5.1200,3.7462,3.7462,9.3670
2026-06-15 16:42:18.700,Igor,right,0.050,3,,,,,,,0.3024,-1.3775,5.1153,3.7706,3.7706,9.3792
2026-06-15 16:42:18.731,Igor,right,0.000,-1,,,,,,,0.3111,-1.3938,5.1214,3.8131,3.8131,9.3778
2026-06-15 16:42:18.761,Igor,right,0.033,2,,,,,,,0.3030,-1.4171,5.1405,3.7939,3.7939,9.3984
2026-06-15 16:42:18.792,Igor,right,0.050,3,,,,,,,0.2978,-1.4434,5.1504,3.7524,3.7524,9.2057
2026-06-15 16:42:18.822,Igor,right,0.067,4,,,,,,,0.2562,-1.4541,5.1429,3.6617,3.6617,8.9840
2026-06-15 16:42:18.853,Igor,right,0.100,6,,,,,,,0.0909,-1.3610,5.1557,3.6528,3.6528,8.7518
2026-06-15 16:42:18.883,Igor,right,0.133,8,,,,,,,0.0442,-1.3321,5.1703,3.6107,3.6107,8.5275
2026-06-15 16:42:18.913,Igor,right,0.167,10,,,,,,,-0.0082,-1.2907,5.2080,3.5136,3.5136,8.1012
2026-06-15 16:42:18.944,Igor,right,0.200,12,,,,,,,-0.0138,-1.2727,5.2349,3.3622,3.3622,7.6119
2026-06-15 16:42:18.975,Igor,right,0.217,13,,,,,,,-0.0139,-1.3099,5.2486,3.2725,3.2725,7.1978
2026-06-15 16:42:19.005,Igor,right,0.250,15,,,,,,,-0.0237,-1.3010,5.2548,3.2502,3.2502,7.0070
2026-06-15 16:42:19.036,Igor,right,0.283,17,,,,,,,-0.0631,-1.2334,5.2593,3.2368,3.2368,6.8891
2026-06-15 16:42:19.066,Igor,right,0.317,19,,,,,,,-0.1185,-1.1007,5.2606,3.2582,3.2582,6.8279
2026-06-15 16:42:19.097,Igor,right,0.350,21,,,,,,,-0.1540,-1.0160,5.2654,3.2597,3.2597,6.8172
2026-06-15 16:42:19.127,Igor,right,0.383,23,,,,,,,-0.2172,-0.8641,5.3088,3.3112,3.3112,6.8452
2026-06-15 16:42:19.158,Igor,right,0.400,24,,,,,,,-0.2891,-0.8074,5.3244,3.2832,3.2832,6.7830
2026-06-15 16:42:19.189,Igor,right,0.433,26,,,,,,,-0.6645,-0.7214,5.3372,3.3186,3.3186,6.4905
2026-06-15 16:42:19.219,Igor,right,0.467,28,,,,,,,-0.7885,-0.6406,5.3553,3.3074,3.3074,6.3798
2026-06-15 16:42:19.250,Igor,right,0.500,30,,,,,,,-0.8596,-0.5866,5.3818,3.3318,3.3318,6.4346
2026-06-15 16:42:19.280,Igor,right,0.533,32,,,,,,,-0.8883,-0.5486,5.4107,3.3826,3.3826,6.5278
2026-06-15 16:42:19.311,Igor,right,0.567,34,,,,,,,-0.8773,-0.5292,5.4166,3.3698,3.3698,6.5761
2026-06-15 16:42:19.341,Igor,right,0.583,35,,,,,,,-0.8976,-0.4827,5.4161,3.3688,3.3688,6.6502
2026-06-15 16:42:19.372,Igor,right,0.617,37,,,,,,,-0.9009,-0.4685,5.4138,3.3884,3.3884,6.7244
2026-06-15 16:42:19.402,Igor,right,0.650,39,,,,,,,-0.8705,-0.4346,5.3986,3.3646,3.3646,6.6495
2026-06-15 16:42:19.433,Igor,right,0.683,41,,,,,,,-0.8766,-0.4031,5.3833,3.3794,3.3794,6.6977
2026-06-15 16:42:19.464,Igor,right,0.717,43,,,,,,,-0.8988,-0.4011,5.3590,3.4035,3.4035,6.7001
