timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:39:27.635,John,right,0.033,2,,,,,,,0.9257,1.8793,2.1556,5.9310,5.9310,22.1649
2026-06-15 16:39:27.666,John,right,0.033,2,,,,,,,0.9714,1.8640,2.1856,5.8833,5.8833,21.9378
2026-06-15 16:39:27.696,John,right,0.033,2,,,,,,,0.9617,1.8823,2.2225,5.9351,5.9351,21.8915
2026-06-15 16:39:27.727,John,right,0.033,2,,,,,,,0.9424,1.9237,2.2367,6.0021,6.0021,21.8923
2026-06-15 16:39:27.757,John,right,0.033,2,,,,,,,0.9306,1.9068,2.2494,5.9927,5.9927,21.7168
2026-06-15 16:39:27.788,John,right,0.033,2,,,,,,,0.9367,1.9101,2.2625,6.0100,6.0100,21.7413
2026-06-15 16:39:27.819,John,right,0.033,2,,,,,,,0.9616,1.9318,2.3166,5.9714,5.9714,21.6019
2026-06-15 16:39:27.849,John,right,0.033,2,,,,,,,0.9577,1.9324,2.3609,5.8858,5.8858,21.3386
2026-06-15 16:39:27.880,John,right,0.033,2,,,,,,,0.9690,1.9459,2.3851,5.8967,5.8967,21.2830
2026-06-15 16:39:27.911,John,right,0.033,2,,,,,,,0.9302,1.9291,2.4073,5.9126,5.9126,21.1651
2026-06-15 16:39:27.941,John,right,0.017,1,,,,,,,0.8665,1.9379,2.3921,5.9544,5.9544,21.2987
2026-06-15 16:39:27.972,John,right,0.050,3,,,,,,,0.8105,1.9261,2.3871,5.9416,5.9416,21.2417
2026-06-15 16:39:28.003,John,right,0.083,5,,,,,,,0.8591,1.9541,2.4160,5.8675,5.8675,21.1167
2026-06-15 16:39:28.033,John,right,0.100,6,,,,,,,0.9131,1.9892,2.4918,5.8105,5.8105,20.9285
2026-06-15 16:39:28.063,John,right,0.133,8,,,,,,,0.8954,1.9824,2.5422,5.7857,5.7857,20.6050
2026-06-15 16:39:28.094,John,right,0.167,10,,,,,,,0.9036,1.9760,2.5623,5.7139,5.7139,20.4400
2026-06-15 16:39:28.125,John,right,0.200,12,,,,,,,0.8844,1.9683,2.5947,5.6810,5.6810,20.1061
2026-06-15 16:39:28.156,John,right,0.233,14,,,,,,,0.8558,1.9609,2.6109,5.6054,5.6054,19.6688
2026-06-15 16:39:28.187,John,right,0.267,16,,,,,,,0.8701,1.9731,2.6259,5.5884,5.5884,19.4125
2026-06-15 16:39:28.217,John,right,0.283,17,,,,,,,0.8664,1.9793,2.6308,5.6332,5.6332,19.3763
2026-06-15 16:39:28.248,John,right,0.317,19,,,,,,,0.8556,1.9943,2.6306,5.6722,5.6722,19.3452
2026-06-15 16:39:28.278,John,right,0.350,21,,,,,,,0.8500,2.0022,2.6314,5.6925,5.6925,19.3538
2026-06-15 16:39:28.309,John,right,0.383,23,,,,,,,0.8519,1.9837,2.6440,5.7139,5.7139,19.3137
2026-06-15 16:39:28.339,John,right,0.417,25,,,,,,,0.8321,1.9257,2.6471,5.6804,5.6804,19.4777
