timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:34:54.125,Kathy,right,0.050,3,,,,,,,0.1665,-0.5259,1.9834,3.2398,3.2398,7.0141
2026-06-15 16:34:54.155,Kathy,right,0.050,3,,,,,,,0.1781,-0.5214,1.9961,3.2513,3.2513,7.0105
2026-06-15 16:34:54.186,Kathy,right,0.050,3,,,,,,,0.1779,-0.5184,2.0056,3.2571,3.2571,7.0075
2026-06-15 16:34:54.217,Kathy,right,0.050,3,,,,,,,0.2190,-0.5033,2.0052,3.2201,3.2201,6.8478
2026-06-15 16:34:54.247,Kathy,right,0.050,3,,,,,,,0.1991,-0.5783,1.9857,3.1788,3.1788,6.7146
2026-06-15 16:34:54.278,Kathy,right,0.050,3,,,,,,,0.1294,-0.7131,1.9653,3.1633,3.1633,6.6803
2026-06-15 16:34:54.309,Kathy,right,0.050,3,,,,,,,0.1181,-0.7839,1.9475,3.1786,3.1786,6.7389
2026-06-15 16:34:54.340,Kathy,right,0.050,3,,,,,,,0.1029,-0.8100,1.9434,3.2241,3.2241,6.8377
2026-06-15 16:34:54.370,Kathy,right,0.050,3,,,,,,,0.0968,-0.8208,1.9454,3.2424,3.2424,6.8717
2026-06-15 16:34:54.401,Kathy,right,0.000,-1,,,,,,,0.0981,-0.8092,1.9468,3.2409,3.2409,6.8264
2026-06-15 16:34:54.432,Kathy,right,0.033,2,,,,,,,0.1075,-0.8125,1.9461,3.2327,3.2327,6.6562
2026-06-15 16:34:54.462,Kathy,right,0.050,3,,,,,,,0.1055,-0.8152,1.9443,3.2123,3.2123,6.5629
2026-06-15 16:34:54.493,Kathy,right,0.083,5,,,,,,,0.1202,-0.8203,1.9541,3.1915,3.1915,6.5394
2026-06-15 16:34:54.523,Kathy,right,0.100,6,,,,,,,0.1138,-0.8440,1.9883,3.1967,3.1967,6.4174
2026-06-15 16:34:54.554,Kathy,right,0.133,8,,,,,,,0.1167,-0.8484,1.9966,3.1783,3.1783,6.2912
2026-06-15 16:34:54.585,Kathy,right,0.167,10,,,,,,,0.1248,-0.8585,2.0102,3.1306,3.1306,6.0567
2026-06-15 16:34:54.616,Kathy,right,0.200,12,,,,,,,0.1228,-0.8562,2.0178,3.0821,3.0821,5.8567
2026-06-15 16:34:54.647,Kathy,right,0.233,14,,,,,,,0.1268,-0.8659,2.0153,3.0211,3.0211,5.6154
2026-06-15 16:34:54.677,Kathy,right,0.267,16,,,,,,,0.1211,-0.8687,2.0214,2.9923,2.9923,5.4384
2026-06-15 16:34:54.708,Kathy,right,0.300,18,,,,,,,0.1187,-0.8651,2.0242,2.9796,2.9796,5.3552
2026-06-15 16:34:54.738,Kathy,right,0.317,19,,,,,,,0.1173,-0.8632,2.0322,2.9490,2.9490,5.2479
2026-06-15 16:34:54.769,Kathy,right,0.350,21,,,,,,,-0.0691,-0.7831,2.0471,2.9568,2.9568,5.2270
2026-06-15 16:34:54.799,Kathy,right,0.383,23,,,,,,,-0.2447,-0.6621,2.0635,2.9485,2.9485,5.2138
2026-06-15 16:34:54.830,Kathy,right,0.417,25,,,,,,,-0.2895,-0.6246,2.0738,2.9504,2.9504,5.2294
2026-06-15 16:34:54.861,Kathy,right,0.450,27,,,,,,,-0.3356,-0.5779,2.0893,2.9495,2.9495,5.2096
2026-06-15 16:34:54.891,Kathy,right,0.483,29,,,,,,,-0.3574,-0.5403,2.0905,2.9317,2.9317,5.2047
2026-06-15 16:34:54.922,Kathy,right,0.500,30,,,,,,,-0.3501,-0.5412,2.0838,2.9158,2.9158,5.2030
2026-06-15 16:34:54.952,Kathy,right,0.533,32,,,,,,,-0.3457,-0.5188,2.0623,2.8945,2.8945,5.2151
2026-06-15 16:34:54.983,Kathy,right,0.567,34,,,,,,,-0.5181,-0.4694,2.0583,2.9855,2.9855,5.3058
2026-06-15 16:34:55.013,Kathy,right,0.600,36,,,,,,,-0.6035,-0.4340,2.0609,2.9762,2.9762,5.2687
2026-06-15 16:34:55.043,Kathy,right,0.633,38,,,,,,,-0.6181,-0.4078,2.0343,2.9446,2.9446,5.1607
2026-06-15 16:34:55.074,Kathy,right,0.667,40,,,,,,,-0.6221,-0.3965,1.9985,2.9390,2.9390,5.1575
2026-06-15 16:34:55.105,Kathy,right,0.683,41,,,,,,,-0.6223,-0.3911,1.9819,2.9365,2.9365,5.1980
2026-06-15 16:34:55.135,Kathy,right,0.717,43,,,,,,,-0.6354,-0.3699,1.9565,2.9746,2.9746,5.2086
2026-06-15 16:34:55.166,Kathy,right,0.750,45,,,,,,,-0.6508,-0.3610,1.9310,3.0106,3.0106,5.2130
2026-06-15 16:34:55.197,Kathy,right,0.783,47,,,,,,,-0.6553,-0.3527,1.9192,3.0237,3.0237,5.2573
2026-06-15 16:34:55.228,Kathy,right,0.817,49,,,,,,,-0.6667,-0.3365,1.9056,3.0589,3.0589,5.4964
2026-06-15 16:34:55.258,Kathy,right,0.833,50,,,,,,,-0.6719,-0.3193,1.9109,3.1127,3.1127,5.7986
2026-06-15 16:34:55.289,Kathy,right,0.867,52,,,,,,,-0.6698,-0.3219,1.9140,3.1406,3.1406,5.8945
2026-06-15 16:34:55.319,Kathy,right,0.900,54,,,,,,,-0.6656,-0.3276,1.9191,3.1593,3.1593,5.9584
2026-06-15 16:34:55.350,Kathy,right,0.933,56,,,,,,,-0.6723,-0.3333,1.9310,3.1570,3.1570,5.9673
2026-06-15 16:34:55.380,Kathy,right,0.967,58,,,,,,,-0.6678,-0.3394,1.9488,3.1412,3.1412,5.9267
2026-06-15 16:34:55.411,Kathy,right,1.000,60,,,,,,,-0.7214,-0.3324,1.9947,3.1759,3.1759,6.1395
2026-06-15 16:34:55.442,Kathy,right,1.033,62,,,,,,,-0.7576,-0.3222,2.0239,3.2410,3.2410,6.3448
2026-06-15 16:34:55.472,Kathy,right,1.050,63,,,,,,,-0.7813,-0.3230,2.0374,3.2851,3.2851,6.4782
2026-06-15 16:34:55.502,Kathy,right,1.083,65,,,,,,,-0.8049,-0.3204,2.0481,3.3477,3.3477,6.6835
2026-06-15 16:34:55.533,Kathy,right,1.117,67,,,,,,,-0.7981,-0.3198,2.0407,3.3393,3.3393,6.6980
2026-06-15 16:34:55.564,Kathy,right,1.150,69,,,,,,,-0.7816,-0.3010,2.0322,3.3103,3.3103,6.5884
2026-06-15 16:34:55.594,Kathy,right,1.183,71,,,,,,,-0.7780,-0.2644,2.0202,3.2968,3.2968,6.5865
2026-06-15 16:34:55.625,Kathy,right,1.217,73,,,,,,,-0.7730,-0.2576,2.0140,3.2940,3.2940,6.5405
2026-06-15 16:34:55.656,Kathy,right,1.233,74,,,,,,,-0.7931,-0.2626,2.0132,3.3031,3.3031,6.6152
2026-06-15 16:34:55.686,Kathy,right,1.267,76,,,,,,,-0.7931,-0.2705,2.0307,3.3112,3.3112,6.7152
2026-06-15 16:34:55.717,Kathy,right,1.300,78,,,,,,,-0.8064,-0.2806,2.0349,3.3294,3.3294,6.7326
2026-06-15 16:34:55.748,Kathy,right,1.333,80,,,,,,,-0.8094,-0.2841,2.0342,3.3267,3.3267,6.7843
2026-06-15 16:34:55.778,Kathy,right,1.367,82,,,,,,,-0.9314,-0.2921,2.0350,3.2861,3.2861,6.5689
2026-06-15 16:34:55.808,Kathy,right,1.400,84,,,,,,,-1.0618,-0.2706,2.0511,3.2600,3.2600,6.4543
2026-06-15 16:34:55.839,Kathy,right,1.417,85,,,,,,,-1.1403,-0.2733,2.0602,3.2716,3.2716,6.3850
2026-06-15 16:34:55.869,Kathy,right,1.450,87,,,,,,,-1.1744,-0.2397,0.1248,3.2559,3.2559,6.2002
2026-06-15 16:34:55.901,Kathy,right,1.483,89,,,,,,,-1.1845,-0.2282,2.0471,3.2541,3.2541,6.1535
2026-06-15 16:34:55.931,Kathy,right,1.517,91,,,,,,,-1.2126,-0.2067,2.0476,3.2729,3.2729,6.1834
2026-06-15 16:34:55.962,Kathy,right,1.533,92,,,,,,,-1.2428,-0.2072,2.0493,3.2690,3.2690,6.1344
2026-06-15 16:34:55.992,Kathy,right,1.583,95,,,,,,,-1.4605,-0.2419,2.0613,3.3074,3.3074,6.3159
2026-06-15 16:34:56.023,Kathy,right,1.600,96,,,,,,,-1.5629,-0.2494,2.0942,3.2966,3.2966,6.4475
2026-06-15 16:34:56.054,Kathy,right,1.633,98,,,,,,,-1.6160,-0.2674,2.1250,3.2973,3.2973,6.4381
2026-06-15 16:34:56.084,Kathy,right,1.667,100,,,,,,,-1.6871,-0.2816,2.1406,3.3517,3.3517,6.2075
2026-06-15 16:34:56.115,Kathy,right,1.700,102,,,,,,,-1.7003,-0.2941,2.1422,3.3489,3.3489,6.0373
2026-06-15 16:34:56.145,Kathy,right,1.733,104,,,,,,,-1.7080,-0.2933,2.1305,3.3814,3.3814,5.9738
2026-06-15 16:34:56.178,Kathy,right,1.767,106,,,,,,,-1.6957,-0.2841,2.1269,3.3624,3.3624,5.9925
2026-06-15 16:34:56.209,Kathy,right,1.800,108,,,,,,,-1.6618,-0.2756,2.1101,3.3668,3.3668,6.0899
2026-06-15 16:34:56.240,Kathy,right,1.817,109,,,,,,,-1.3343,-0.2857,2.0747,3.3481,3.3481,6.3078
2026-06-15 16:34:56.270,Kathy,right,1.850,111,,,,,,,-1.1365,-0.2940,2.0479,3.3420,3.3420,6.5209
2026-06-15 16:34:56.301,Kathy,right,1.883,113,,,,,,,-1.0532,-0.2906,2.0354,3.3244,3.3244,6.4285
2026-06-15 16:34:56.331,Kathy,right,1.917,115,,,,,,,-0.9272,-0.2964,2.0231,3.3251,3.3251,6.4142
2026-06-15 16:34:56.362,Kathy,right,1.950,117,,,,,,,-0.8314,-0.3210,2.0183,3.3053,3.3053,6.5794
2026-06-15 16:34:56.392,Kathy,right,1.983,119,,,,,,,-0.7265,-0.3437,1.9929,3.2768,3.2768,6.6366
2026-06-15 16:34:56.423,Kathy,right,2.000,120,,,,,,,-0.4966,-0.3879,1.9514,3.3086,3.3086,6.8313
2026-06-15 16:34:56.453,Kathy,right,2.033,122,,,,,,,-0.4109,-0.4016,1.9327,3.3314,3.3314,6.8908
2026-06-15 16:34:56.484,Kathy,right,2.067,124,,,,,,,-0.2986,-0.4159,1.9085,3.3206,3.3206,7.0194
2026-06-15 16:34:56.515,Kathy,right,2.100,126,,,,,,,-0.1283,-0.4090,1.8844,3.2973,3.2973,7.1923
2026-06-15 16:34:56.546,Kathy,right,2.133,128,,,,,,,0.0394,-0.3935,1.8594,3.3226,3.3226,7.3343
2026-06-15 16:34:56.576,Kathy,right,2.167,130,,,,,,,0.1670,-0.3894,1.8417,3.3418,3.3418,7.4285
2026-06-15 16:34:56.607,Kathy,right,2.183,131,,,,,,,0.2230,-0.3955,1.8276,3.3079,3.3079,7.5712
2026-06-15 16:34:56.637,Kathy,right,2.217,133,,,,,,,0.3171,-0.3777,1.7996,3.2805,3.2805,7.6097
