timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:46:44.636,Pavel,right,0.050,3,,,,,,,0.0475,0.1645,5.6826,3.2230,3.2230,7.2801
2026-06-15 16:46:44.666,Pavel,right,0.050,3,,,,,,,-0.0862,0.0000,4.7937,0.0000,0.0000,0.0000
2026-06-15 16:46:44.697,Pavel,right,0.050,3,,,,,,,0.5298,0.3356,5.6062,2.0361,2.0361,5.3011
2026-06-15 16:46:44.735,Pavel,right,0.050,3,,,,,,,0.4226,0.0389,5.7293,2.4719,2.4719,6.6407
2026-06-15 16:46:44.765,Pavel,right,0.050,3,,,,,,,0.3392,-0.0669,5.8834,2.7117,2.7117,7.2288
2026-06-15 16:46:44.796,Pavel,right,0.050,3,,,,,,,0.0887,-0.1112,5.8951,3.2221,3.2221,7.5302
2026-06-15 16:46:44.827,Pavel,right,0.050,3,,,,,,,0.0214,-0.1171,5.8802,3.3364,3.3364,7.5713
2026-06-15 16:46:44.857,Pavel,right,0.050,3,,,,,,,-0.0810,-0.0854,5.8427,3.4978,3.4978,7.6344
2026-06-15 16:46:44.888,Pavel,right,0.050,3,,,,,,,-0.1051,-0.0724,5.8369,3.5314,3.5314,7.5926
2026-06-15 16:46:44.918,Pavel,right,0.050,3,,,,,,,-0.0966,-0.0571,5.8358,3.5110,3.5110,7.5813
2026-06-15 16:46:44.949,Pavel,right,0.017,1,,,,,,,-0.0917,-0.0459,5.8390,3.4921,3.4921,7.5283
2026-06-15 16:46:44.979,Pavel,right,0.050,3,,,,,,,-0.0920,-0.0332,5.8369,3.4760,3.4760,7.4503
2026-06-15 16:46:45.010,Pavel,right,0.067,4,,,,,,,-0.1021,-0.0276,5.8320,3.4621,3.4621,7.4249
2026-06-15 16:46:45.041,Pavel,right,0.100,6,,,,,,,-0.1195,-0.0280,5.8299,3.5245,3.5245,7.5704
2026-06-15 16:46:45.071,Pavel,right,0.133,8,,,,,,,-0.1294,-0.0454,5.8421,3.5298,3.5298,7.5336
2026-06-15 16:46:45.102,Pavel,right,0.150,9,,,,,,,-0.1200,-0.0850,5.8708,3.5419,3.5419,7.4833
2026-06-15 16:46:45.132,Pavel,right,0.183,11,,,,,,,-0.1095,-0.1065,5.8919,3.5440,3.5440,7.4407
2026-06-15 16:46:45.163,Pavel,right,0.217,13,,,,,,,-0.1095,-0.1065,5.8919,3.5440,3.5440,7.4407
2026-06-15 16:46:45.194,Pavel,right,0.250,15,,,,,,,-0.1059,-0.1279,5.9063,3.5388,3.5388,7.4220
2026-06-15 16:46:45.224,Pavel,right,0.283,17,,,,,,,-0.0970,-0.1412,5.9204,3.5277,3.5277,7.4272
2026-06-15 16:46:45.255,Pavel,right,0.317,19,,,,,,,-0.3437,-0.1084,5.9217,3.5198,3.5198,7.2752
2026-06-15 16:46:45.286,Pavel,right,0.350,21,,,,,,,-0.7278,-0.0501,5.9145,3.5020,3.5020,7.0724
2026-06-15 16:46:45.316,Pavel,right,0.367,22,,,,,,,-0.8109,-0.0414,5.9109,3.4571,3.4571,7.0275
2026-06-15 16:46:45.347,Pavel,right,0.400,24,,,,,,,-0.9291,-0.0315,5.9068,3.4734,3.4734,6.9775
2026-06-15 16:46:45.378,Pavel,right,0.433,26,,,,,,,-0.9898,-0.0026,5.9101,3.5093,3.5093,7.0415
2026-06-15 16:46:45.409,Pavel,right,0.467,28,,,,,,,-1.0264,0.0345,5.9113,3.5389,3.5389,7.1621
2026-06-15 16:46:45.440,Pavel,right,0.500,30,,,,,,,-1.0611,0.0572,5.9288,3.5939,3.5939,7.2933
2026-06-15 16:46:45.471,Pavel,right,0.533,32,,,,,,,-1.0985,0.0763,5.9549,3.6566,3.6566,7.3838
2026-06-15 16:46:45.502,Pavel,right,0.550,33,,,,,,,-1.1113,0.0735,5.9676,3.6838,3.6838,7.4108
2026-06-15 16:46:45.532,Pavel,right,0.583,35,,,,,,,-1.1372,0.0837,5.9760,3.6892,3.6892,7.4087
2026-06-15 16:46:45.563,Pavel,right,0.617,37,,,,,,,-1.1596,0.0823,5.9605,3.6822,3.6822,7.4395
2026-06-15 16:46:45.594,Pavel,right,0.650,39,,,,,,,-1.1762,0.0821,5.9160,3.6823,3.6823,7.4994
2026-06-15 16:46:45.625,Pavel,right,0.683,41,,,,,,,-1.1579,0.0803,5.8930,3.6448,3.6448,7.5373
2026-06-15 16:46:45.655,Pavel,right,0.717,43,,,,,,,-1.1413,0.0618,5.9143,3.5705,3.5705,7.3620
2026-06-15 16:46:45.686,Pavel,right,0.733,44,,,,,,,-1.1347,0.0494,5.9416,3.5024,3.5024,7.1479
2026-06-15 16:46:45.716,Pavel,right,0.767,46,,,,,,,-1.1353,0.0511,5.9499,3.4819,3.4819,7.0934
2026-06-15 16:46:45.747,Pavel,right,0.800,48,,,,,,,-1.1716,0.0655,5.9375,3.5536,3.5536,7.1574
2026-06-15 16:46:45.778,Pavel,right,0.833,50,,,,,,,-1.1806,0.0719,5.9143,3.6481,3.6481,7.2843
2026-06-15 16:46:45.808,Pavel,right,0.867,52,,,,,,,-1.2097,0.0923,5.8931,3.7176,3.7176,7.4136
2026-06-15 16:46:45.838,Pavel,right,0.900,54,,,,,,,-1.1681,0.1025,5.9144,3.6424,3.6424,7.5418
2026-06-15 16:46:45.869,Pavel,right,0.933,56,,,,,,,-1.1522,0.1133,5.9252,3.6053,3.6053,7.4309
2026-06-15 16:46:45.899,Pavel,right,0.950,57,,,,,,,-1.1603,0.1290,5.9630,3.6009,3.6009,7.4847
2026-06-15 16:46:45.931,Pavel,right,0.983,59,,,,,,,-1.1628,0.1239,5.9569,3.6033,3.6033,7.2969
2026-06-15 16:46:45.961,Pavel,right,1.017,61,,,,,,,-1.2010,0.1048,5.9395,3.6634,3.6634,7.4708
2026-06-15 16:46:45.992,Pavel,right,1.050,63,,,,,,,-1.2260,0.0943,5.9425,3.6989,3.6989,7.6224
2026-06-15 16:46:46.023,Pavel,right,1.083,65,,,,,,,-1.2505,0.0773,5.9626,3.7197,3.7197,7.7400
2026-06-15 16:46:46.053,Pavel,right,1.117,67,,,,,,,-1.2327,0.0749,5.9804,3.6969,3.6969,7.6613
2026-06-15 16:46:46.084,Pavel,right,1.133,68,,,,,,,-1.2112,0.0740,5.9696,3.7092,3.7092,7.7063
2026-06-15 16:46:46.115,Pavel,right,1.167,70,,,,,,,-1.2157,0.0693,5.9706,3.7475,3.7475,7.8197
2026-06-15 16:46:46.145,Pavel,right,1.200,72,,,,,,,-1.2207,0.0591,5.9767,3.7682,3.7682,7.9255
2026-06-15 16:46:46.175,Pavel,right,1.233,74,,,,,,,-1.2144,0.0553,5.9750,3.7590,3.7590,7.9375
2026-06-15 16:46:46.206,Pavel,right,1.267,76,,,,,,,-1.2190,0.0492,5.9781,3.7553,3.7553,7.9648
2026-06-15 16:46:46.236,Pavel,right,1.300,78,,,,,,,-1.2178,0.0482,5.9804,3.7479,3.7479,7.9812
2026-06-15 16:46:46.267,Pavel,right,1.317,79,,,,,,,-1.3102,0.0570,5.9827,3.6954,3.6954,7.8011
2026-06-15 16:46:46.297,Pavel,right,1.350,81,,,,,,,-1.4214,0.0777,5.9808,3.6584,3.6584,7.5817
2026-06-15 16:46:46.328,Pavel,right,1.383,83,,,,,,,-1.4746,0.0887,5.9831,3.6360,3.6360,7.5127
2026-06-15 16:46:46.358,Pavel,right,1.400,84,,,,,,,-1.4948,0.0943,5.9847,3.6351,3.6351,7.5044
2026-06-15 16:46:46.389,Pavel,right,1.467,88,,,,,,,-1.5520,0.1105,5.9797,3.6454,3.6454,7.3571
2026-06-15 16:46:46.419,Pavel,right,1.500,90,,,,,,,-1.6742,0.1414,5.9775,3.5517,3.5517,7.3475
2026-06-15 16:46:46.450,Pavel,right,1.517,91,,,,,,,-1.9233,0.1578,6.0016,3.5908,3.5908,7.3215
2026-06-15 16:46:46.481,Pavel,right,1.550,93,,,,,,,-2.0705,0.1735,6.0287,3.6084,3.6084,7.4050
2026-06-15 16:46:46.511,Pavel,right,1.583,95,,,,,,,-2.1694,0.1712,6.0491,3.6043,3.6043,7.1989
2026-06-15 16:46:46.542,Pavel,right,1.617,97,,,,,,,-2.1968,0.1856,6.0520,3.5860,3.5860,7.0684
2026-06-15 16:46:46.573,Pavel,right,1.650,99,,,,,,,-2.2510,0.2060,6.0642,3.5284,3.5284,7.0819
2026-06-15 16:46:46.604,Pavel,right,1.683,101,,,,,,,-2.2912,0.2239,6.0532,3.4839,3.4839,6.9454
2026-06-15 16:46:46.635,Pavel,right,1.700,102,,,,,,,-2.3315,0.2610,6.0152,3.4361,3.4361,6.7682
2026-06-15 16:46:46.665,Pavel,right,1.733,104,,,,,,,-2.3435,0.2815,5.9991,3.4171,3.4171,6.7377
2026-06-15 16:46:46.696,Pavel,right,1.767,106,,,,,,,-2.3290,0.2687,6.0057,3.3932,3.3932,6.7666
2026-06-15 16:46:46.727,Pavel,right,1.800,108,,,,,,,-2.0447,0.2293,6.0113,3.5243,3.5243,7.0472
2026-06-15 16:46:46.757,Pavel,right,1.833,110,,,,,,,-1.8541,0.2064,6.0158,3.5922,3.5922,7.3969
2026-06-15 16:46:46.787,Pavel,right,1.867,112,,,,,,,-1.7747,0.1853,6.0117,3.6114,3.6114,7.4494
2026-06-15 16:46:46.818,Pavel,right,1.883,113,,,,,,,-1.6708,0.1607,6.0068,3.6649,3.6649,7.6331
2026-06-15 16:46:46.849,Pavel,right,1.917,115,,,,,,,-1.5879,0.1478,6.0266,3.7571,3.7571,7.9738
2026-06-15 16:46:46.879,Pavel,right,1.950,117,,,,,,,-1.4845,0.1292,6.0336,3.7822,3.7822,7.9793
2026-06-15 16:46:46.910,Pavel,right,1.983,119,,,,,,,-1.0099,0.0890,5.9977,3.8083,3.8083,8.3837
2026-06-15 16:46:46.940,Pavel,right,2.017,121,,,,,,,-0.7588,0.0697,5.9654,3.8312,3.8312,8.7023
2026-06-15 16:46:46.971,Pavel,right,2.050,123,,,,,,,-0.5639,0.0429,5.9430,3.8682,3.8682,8.8680
2026-06-15 16:46:47.002,Pavel,right,2.067,124,,,,,,,-0.4282,0.0338,5.9365,3.9409,3.9409,9.2311
2026-06-15 16:46:47.032,Pavel,right,2.100,126,,,,,,,-0.3557,0.0279,5.9373,3.9414,3.9414,9.2521
2026-06-15 16:46:47.063,Pavel,right,2.133,128,,,,,,,-0.2051,0.0337,5.9169,3.8756,3.8756,9.1894
2026-06-15 16:46:47.094,Pavel,right,2.167,130,,,,,,,-0.0980,0.0503,5.9006,3.8642,3.8642,9.2898
