timestamp,username,active_eye,playback_time_s,video_frame,left_x,left_y,left_z,left_w_mm,left_h_mm,left_area_mm2,right_x,right_y,right_z,right_w_mm,right_h_mm,right_area_mm2
2026-06-15 16:37:14.464,Zohre,right,0.050,3,,,,,,,3.2407,0.0238,1.6924,3.9984,3.9984,10.2718
2026-06-15 16:37:14.495,Zohre,right,0.050,3,,,,,,,3.1769,0.0573,1.6918,3.9718,3.9718,10.1157
2026-06-15 16:37:14.526,Zohre,right,0.050,3,,,,,,,3.0771,0.0560,1.6813,3.9663,3.9663,9.9985
2026-06-15 16:37:14.556,Zohre,right,0.050,3,,,,,,,2.9802,0.0455,1.6883,4.0568,4.0568,10.0558
2026-06-15 16:37:14.587,Zohre,right,0.050,3,,,,,,,2.9622,0.0530,1.6911,4.0690,4.0690,10.0123
2026-06-15 16:37:14.617,Zohre,right,0.050,3,,,,,,,2.9492,0.0288,1.7050,4.1202,4.1202,10.0221
2026-06-15 16:37:14.648,Zohre,right,0.050,3,,,,,,,2.9470,0.0563,1.6873,4.2122,4.2122,9.8018
2026-06-15 16:37:14.679,Zohre,right,0.050,3,,,,,,,2.9715,0.0677,1.6611,4.1440,4.1440,9.5104
2026-06-15 16:37:14.709,Zohre,right,0.050,3,,,,,,,3.0185,0.0398,1.6608,4.0437,4.0437,9.2019
2026-06-15 16:37:14.740,Zohre,right,0.050,3,,,,,,,3.0107,0.0053,1.6842,4.0851,4.0851,9.1820
2026-06-15 16:37:14.770,Zohre,right,0.017,1,,,,,,,3.0251,0.0021,1.7192,4.0008,4.0008,8.8893
2026-06-15 16:37:14.801,Zohre,right,0.050,3,,,,,,,3.0355,-0.0210,1.7634,3.8842,3.8842,8.6071
2026-06-15 16:37:14.831,Zohre,right,0.067,4,,,,,,,3.0190,-0.0413,1.7850,3.8706,3.8706,8.5643
2026-06-15 16:37:14.862,Zohre,right,0.083,5,,,,,,,3.0078,-0.0583,1.8087,3.8669,3.8669,8.5084
2026-06-15 16:37:14.892,Zohre,right,0.117,7,,,,,,,2.9900,-0.0671,1.8687,3.8658,3.8658,8.4190
2026-06-15 16:37:14.923,Zohre,right,0.150,9,,,,,,,2.9922,-0.0721,1.9381,3.8402,3.8402,8.0504
2026-06-15 16:37:14.953,Zohre,right,0.183,11,,,,,,,2.9854,-0.0713,1.9620,3.7978,3.7978,7.9112
2026-06-15 16:37:14.984,Zohre,right,0.217,13,,,,,,,2.9920,-0.0652,1.9725,3.6825,3.6825,7.6386
2026-06-15 16:37:15.015,Zohre,right,0.250,15,,,,,,,2.9717,-0.0664,1.9741,3.6071,3.6071,7.2970
2026-06-15 16:37:15.045,Zohre,right,0.267,16,,,,,,,2.9708,-0.0632,1.9784,3.5724,3.5724,7.1533
2026-06-15 16:37:15.076,Zohre,right,0.300,18,,,,,,,2.9729,-0.0609,2.0026,3.5224,3.5224,6.9391
2026-06-15 16:37:15.107,Zohre,right,0.333,20,,,,,,,2.9787,-0.0647,2.0048,3.5085,3.5085,6.8578
2026-06-15 16:37:15.137,Zohre,right,0.367,22,,,,,,,2.9655,-0.0811,2.0192,3.4619,3.4619,6.6986
2026-06-15 16:37:15.168,Zohre,right,0.400,24,,,,,,,2.9762,-0.1175,2.0357,3.4335,3.4335,6.6581
2026-06-15 16:37:15.198,Zohre,right,0.433,26,,,,,,,2.9406,-0.1251,2.0452,3.4230,3.4230,6.6027
2026-06-15 16:37:15.229,Zohre,right,0.450,27,,,,,,,2.5938,-0.0981,2.0946,3.3611,3.3611,6.2027
2026-06-15 16:37:15.259,Zohre,right,0.483,29,,,,,,,2.4434,-0.0991,2.1304,3.4153,3.4153,6.1428
2026-06-15 16:37:15.290,Zohre,right,0.517,31,,,,,,,2.3819,-0.1412,2.1396,3.3870,3.3870,6.0469
2026-06-15 16:37:15.320,Zohre,right,0.550,33,,,,,,,2.3418,-0.1919,2.1489,3.3594,3.3594,6.1209
2026-06-15 16:37:15.351,Zohre,right,0.583,35,,,,,,,2.3469,-0.2043,2.1473,3.4157,3.4157,6.1457
2026-06-15 16:37:15.381,Zohre,right,0.617,37,,,,,,,2.3510,-0.2470,2.1618,3.4658,3.4658,6.3686
2026-06-15 16:37:15.412,Zohre,right,0.633,38,,,,,,,2.3435,-0.2960,2.1730,3.4700,3.4700,6.5624
2026-06-15 16:37:15.443,Zohre,right,0.667,40,,,,,,,2.4231,-0.2541,2.1365,3.3696,3.3696,6.0251
2026-06-15 16:37:15.474,Zohre,right,0.700,42,,,,,,,2.3859,-0.3147,2.1189,3.4370,3.4370,6.4085
2026-06-15 16:37:15.507,Zohre,right,0.733,44,,,,,,,2.5417,-0.4182,2.0666,3.5353,3.5353,6.8787
2026-06-15 16:37:15.537,Zohre,right,0.767,46,,,,,,,2.7301,-0.5209,1.9843,3.5896,3.5896,7.2050
2026-06-15 16:37:15.568,Zohre,right,0.800,48,,,,,,,2.7983,-0.6035,1.9318,3.6838,3.6838,7.5632
2026-06-15 16:37:15.599,Zohre,right,0.833,50,,,,,,,2.8247,-0.6894,1.8640,3.7992,3.7992,7.8893
2026-06-15 16:37:15.629,Zohre,right,0.850,51,,,,,,,5.2387,-0.2150,1.7363,0.0000,0.0000,0.0000
2026-06-15 16:37:15.660,Zohre,right,0.883,53,,,,,,,5.2387,-0.2150,1.7363,0.0000,0.0000,0.0000
2026-06-15 16:37:15.690,Zohre,right,0.917,55,,,,,,,5.2387,-0.2150,1.7363,0.0000,0.0000,0.0000
2026-06-15 16:37:15.720,Zohre,right,0.950,57,,,,,,,5.2387,-0.2150,1.7363,0.0000,0.0000,0.0000
2026-06-15 16:37:15.751,Zohre,right,0.983,59,,,,,,,5.2387,-0.2150,1.7363,0.0000,0.0000,0.0000
2026-06-15 16:37:15.782,Zohre,right,1.017,61,,,,,,,2.9889,-1.2560,1.7117,3.7065,3.7065,7.3517
2026-06-15 16:37:15.813,Zohre,right,1.033,62,,,,,,,2.9599,-1.2596,1.7151,3.7524,3.7524,7.5928
2026-06-15 16:37:15.843,Zohre,right,1.067,64,,,,,,,2.9487,-1.2643,1.7175,3.7455,3.7455,7.8133
2026-06-15 16:37:15.874,Zohre,right,1.100,66,,,,,,,2.9094,-1.2802,1.7287,3.8102,3.8102,8.2410
2026-06-15 16:37:15.904,Zohre,right,1.133,68,,,,,,,2.9646,-1.2985,1.7345,3.7635,3.7635,8.3366
2026-06-15 16:37:15.935,Zohre,right,1.167,70,,,,,,,3.0140,-1.3271,1.7498,3.7807,3.7807,8.3076
2026-06-15 16:37:15.965,Zohre,right,1.200,72,,,,,,,3.0301,-1.3340,1.7857,3.7855,3.7855,8.3290
2026-06-15 16:37:15.996,Zohre,right,1.233,74,,,,,,,3.0259,-1.3510,1.8000,3.7588,3.7588,8.3737
2026-06-15 16:37:16.027,Zohre,right,1.250,75,,,,,,,3.0079,-1.3661,1.8430,3.6626,3.6626,8.4672
2026-06-15 16:37:16.058,Zohre,right,1.300,78,,,,,,,2.9782,-1.3159,1.8964,3.6894,3.6894,8.6682
2026-06-15 16:37:16.088,Zohre,right,1.333,80,,,,,,,3.0080,-1.3164,1.8914,3.6513,3.6513,8.3564
2026-06-15 16:37:16.119,Zohre,right,1.367,82,,,,,,,2.9544,-1.2130,1.8561,3.8216,3.8216,8.6814
2026-06-15 16:37:16.150,Zohre,right,1.400,84,,,,,,,2.9422,-1.0894,1.8278,3.9080,3.9080,8.8162
2026-06-15 16:37:16.181,Zohre,right,1.433,86,,,,,,,2.8631,-1.0394,1.8104,3.9336,3.9336,8.9122
2026-06-15 16:37:16.211,Zohre,right,1.450,87,,,,,,,2.6521,-0.9946,1.8169,3.9597,3.9597,8.8897
2026-06-15 16:37:16.242,Zohre,right,1.483,89,,,,,,,2.4285,-1.0043,1.8178,3.9931,3.9931,8.5334
2026-06-15 16:37:16.272,Zohre,right,1.517,91,,,,,,,2.2865,-0.9584,1.8831,4.1117,4.1117,8.6581
2026-06-15 16:37:16.303,Zohre,right,1.550,93,,,,,,,2.2022,-0.9037,1.9451,4.1564,4.1564,8.8108
2026-06-15 16:37:16.333,Zohre,right,1.583,95,,,,,,,2.2776,-0.8408,1.8880,4.0035,4.0035,8.2553
2026-06-15 16:37:16.364,Zohre,right,1.617,97,,,,,,,2.2302,-0.8137,1.9122,4.0679,4.0679,8.5450
2026-06-15 16:37:16.394,Zohre,right,1.633,98,,,,,,,2.4877,-0.7053,1.8178,3.8870,3.8870,7.9869
2026-06-15 16:37:16.425,Zohre,right,1.667,100,,,,,,,2.6415,-0.6934,1.7965,3.8855,3.8855,8.3296
2026-06-15 16:37:16.456,Zohre,right,1.700,102,,,,,,,2.7981,-0.6697,1.7886,3.9071,3.9071,8.8888
2026-06-15 16:37:16.486,Zohre,right,1.733,104,,,,,,,2.8748,-0.6367,1.8052,3.9281,3.9281,9.1274
2026-06-15 16:37:16.518,Zohre,right,1.767,106,,,,,,,2.9228,-0.6028,1.8125,3.9339,3.9339,9.2832
2026-06-15 16:37:16.549,Zohre,right,1.800,108,,,,,,,2.9166,-0.5764,1.8219,3.9678,3.9678,9.3464
2026-06-15 16:37:16.580,Zohre,right,1.817,109,,,,,,,2.9162,-0.5293,1.8465,4.0064,4.0064,9.4691
2026-06-15 16:37:16.610,Zohre,right,1.850,111,,,,,,,2.9036,-0.5075,1.8192,3.9758,3.9758,9.0165
2026-06-15 16:37:16.641,Zohre,right,1.883,113,,,,,,,2.7955,-0.4872,1.8108,3.9900,3.9900,8.9863
