window_id,source,window_score,start_s,end_s,trace,cache,local_prec,local_j30,raw_jump_ge3_frac,raw_jump_return_ge3_frac,raw_step_p999_px,raw_speed_p999_px_s,max_ncc,resolved_minus_immediate_rms_px,resolved_minus_immediate_p95_px,hyp_count,qv,con,p_saccade,along_sigma_eff,resolver_override_frac,resolver_rank_p95,resolver_blend_frac,resolver_logp_gap_median,resolver_logp_gap_p95,resolved_minus_local_best_rms_px
1,j30,0.7009318376797609,62.63404542770419,64.60109021340573,baseline,m4_dpf_physics.npz,2.5208971238044353,1.0277905004782362,0.11915018962406569,0.03947271522203402,67.6379414959342,988000.3684357209,0.3549223267793123,,,,,,,,,,,,,
1,j30,0.7009318376797609,62.63404542770419,64.60109021340573,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.053536318894926,1.6448376080239457,0.10463011839227811,0.026884355793522115,58.5282505414045,854933.3675727227,0.3449191411659685,2.899149288884299,6.671621812618596,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0,0.05120894582885918,1.0,0.026770837190358054,0.0,0.027670827195289474,4.761894086807147
1,j30,0.7009318376797609,62.63404542770419,64.60109021340573,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,2.934913450450353,1.650881107817277,0.1397707563532162,0.045058632781569324,69.61673043619017,1016904.9175510564,0.3449191411659685,0.0,0.0,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0,0.05120894582885918,1.0,0.026770837190358054,0.0,0.027670827195289474,4.060465862390111
1,j30,0.7009318376797609,62.63404542770419,64.60109021340573,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.136248884312103,1.737001628330006,0.0869089812231355,0.016892274046981636,63.960081398826624,934277.1614511359,0.3449191411659685,4.924877621654338,7.209427350404973,1.3873440219202429,0.4763340353965759,20.292037963867188,0.0,2.0,0.05120894582885918,1.0,,0.0,0.027670827195289474,6.195714531561964
2,j30,0.6558119444863308,63.100801817531675,65.0678466032332,baseline,m4_dpf_physics.npz,2.8125302810270996,1.5974253843133743,0.12885851362360823,0.043678993346308786,74.07846681909086,1082078.3556048141,0.35408300180919955,,,,,,,,,,,,,
2,j30,0.6558119444863308,63.100801817531675,65.0678466032332,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.430827363880161,2.2229856394698864,0.11035124447545941,0.029310505257281103,62.634446531310196,914913.35899721,0.34484892468626716,3.0701089010946436,6.985367411624039,1.3955553531581584,0.49394428730010986,20.760128021240234,0.0,2.0,0.05359989070540553,1.0,0.029782776993487865,0.0,0.08176314095539067,4.997581880984185
2,j30,0.6558119444863308,63.100801817531675,65.0678466032332,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.3027546528580656,2.088750918479942,0.1457083042568039,0.04619893923885736,76.12119102499496,1111916.8193931764,0.34484892468626716,0.0,0.0,1.3955553531581584,0.49394428730010986,20.760128021240234,0.0,2.0,0.05359989070540553,1.0,0.029782776993487865,0.0,0.08176314095539067,4.3361447942008065
2,j30,0.6558119444863308,63.100801817531675,65.0678466032332,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.518702318270654,1.88548350027299,0.08923005350081414,0.016795384758537268,68.55040109193861,1001328.8405491019,0.34484892468626716,5.296256523052558,7.787525025181472,1.3955553531581584,0.49394428730010986,20.760128021240234,0.0,2.0,0.05359989070540553,1.0,,0.0,0.08176314095539067,6.529943631965887
3,j30,0.6479845056189788,0.08868919082157571,2.0557339765231077,baseline,m4_dpf_physics.npz,3.4219925048229296,0.6690461039358553,0.15370003637392393,0.05169347667933069,80.79674698959363,1180213.5610369623,0.34856378084893175,,,,,,,,,,,,,
3,j30,0.6479845056189788,0.08868919082157571,2.0557339765231077,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,3.5629806323858793,1.317030609554834,0.12402132267199734,0.031235683644996043,54.46226608394481,795540.7537057622,0.33597833041969627,3.175471672220167,7.37115549326832,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0,0.061812851209381875,1.0,0.034530499226321364,0.0,0.23359300511959974,4.954854939868901
3,j30,0.6479845056189788,0.08868919082157571,2.0557339765231077,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,3.5375258949191566,0.9961375857188557,0.1648342495418957,0.05176793969430678,71.73522893430453,1047850.2309413719,0.33597833041969627,0.0,0.0,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0,0.061812851209381875,1.0,0.034530499226321364,0.0,0.23359300511959974,4.531149193002399
3,j30,0.6479845056189788,0.08868919082157571,2.0557339765231077,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,3.627831927771719,1.4304038087022022,0.10228219223721473,0.018824705343384283,57.626481535161005,841761.0549519128,0.33597833041969627,5.420587991502743,8.767532105427422,1.4572847951787604,0.4629654437303543,18.633273124694824,0.0,2.0,0.061812851209381875,1.0,,0.0,0.23359300511959974,6.334157794933008
4,j30,0.5833110048879107,50.031622902362166,51.998667688063705,baseline,m4_dpf_physics.npz,2.2710745937151144,1.593110833753343,0.1201196211995348,0.03979231568016615,87.64423010434787,1280236.0586264438,0.37137020332877135,,,,,,,,,,,,,
4,j30,0.5833110048879107,50.031622902362166,51.998667688063705,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,2.7593400446829133,1.902333026649103,0.10016189502385821,0.026074730518512206,60.12662827777668,878281.1773597798,0.3655613822783559,3.0046137532259976,6.442202595271311,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0,0.047825002079347916,0.0,0.029734675205855442,0.0,0.0,4.644910567470097
4,j30,0.5833110048879107,50.031622902362166,51.998667688063705,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,2.6921729319574133,1.9244749695418406,0.12985685071574643,0.04034766307358016,82.98116683564932,1212121.8001848238,0.3655613822783559,0.0,0.0,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0,0.047825002079347916,0.0,0.029734675205855442,0.0,0.0,4.127942499427059
4,j30,0.5833110048879107,50.031622902362166,51.998667688063705,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6,m4_dpf_physics_aq_constant_sg100_mp_s2_tau6.npz,2.869780256723332,2.081172873621764,0.08001022494887526,0.014741596012100039,65.52809676950571,957181.4623461734,0.3655613822783559,5.310377102669342,6.959724591655338,1.357231972053564,0.49628208577632904,20.39883804321289,0.0,2.0,0.047825002079347916,0.0,,0.0,0.0,6.151047900261877
5,j30,0.5659193272837797,62.400667232790454,64.36771201849197,baseline,m4_dpf_physics.npz,1.8440783939544518,0.8226805715001575,0.12149772627255391,0.04030513074412293,70.03513167796429,1023016.5846403282,0.3495482637864161,,,,,,,,,,,,,
5,j30,0.5659193272837797,62.400667232790454,64.36771201849197,resolved,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz,2.208288419203557,1.394579015969228,0.10676770708283313,0.027762145938848248,52.218564398841934,762766.5733786635,0.33781650623045023,2.898966985944447,6.7802382100719285,1.4005756245157006,0.4651849567890167,19.988460540771484,0.0,2.0,0.053097671672632005,1.0,0.027194568466108262,0.0,0.061688330528590685,4.659350666267209
5,j30,0.5659193272837797,62.400667232790454,64.36771201849197,immediate,m4_dpf_physics_aq_constant_bi_d12_a0p5_sg100_mp_s2_tau6.npz::immediate,2.12412233512339,1.313169185176612,0.14371998799519808,0.04727068092290377,65.3566675326829,954677.362644207,0.33781650623045023,0.0,0.0,1.4005756245157006,0.4651849567890167,19.988460540771484,0.0,2.0,0.053097671672632005,1.0,0.027194568466108262,0.0,0.061688330528590685,3.9224664557796096
