kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw,64,223.23688969258592,1116,0.953405017921147,0.09029779058597502,59.92000000000007,13376.354430379764,6369.692585895125,,,,,,,,,,,,,,,,
evidence,raw,32,465.07685352622065,2325,0.9320430107526881,0.05536992840095466,57.06000000000404,26537.285262208028,12636.802505813346,,,,,,,,,,,,,,,,
evidence,raw,16,930.1537070524413,4650,0.9303225806451613,0.057004830917874394,56.79150000000118,52824.82425406981,25154.678216223718,,,,,,,,,,,,,,,,
evidence,raw,15,985.9629294755878,4929,0.9293974437005478,0.057025547445255474,56.702000000001135,55906.0700271259,26621.938108155187,,,,,,,,,,,,,,,,
evidence,raw,8,1878.9104882459314,9393,0.9322900031938678,0.07612415909359141,69.58400000000074,130742.10741410629,62258.14638766966,,,,,,,,,,,,,,,,
evidence,raw,4,3757.820976491863,18786,0.9364420312999042,0.08596603095472727,68.50000000000728,257410.73688971993,122576.5413760571,,,,,,,,,,,,,,,,
evidence,raw,2,7515.641952983726,37572,0.9452517832428404,0.08402211708373711,72.0,541126.2206148283,257679.15267372775,,,,,,,,,,,,,,,,
evidence,raw,1,15031.283905967452,75144,0.9557250079846694,0.09964887640449438,71.0,1067221.157323689,508200.55110651854,,,,,,,,,,,,,,,,
evidence,pf,64,223.23688969258592,1116,0.953405017921147,0.037463976945244955,47.9643696018159,10707.416685974998,5098.769850464285,0.3443377470964013,0.5859619566635366,0.5853083490707436,0.32974910394265233,1.0,5.0,2.154982529455828,8.225715469144884,4.877877534326503,,,,,,,
evidence,pf,32,465.07685352622065,2325,0.9320430107526881,0.02243436754176611,30.708496354543776,14281.810861092637,6800.862314806017,0.3312083251702199,0.5957758625652542,0.6102637955140718,0.28086021505376346,1.0,5.0,3.8708900584093153,9.283667215396518,4.6836621153573175,,,,,,,
evidence,pf,16,930.1537070524413,4650,0.9303225806451613,0.011835748792270532,33.045569100615225,30737.45860059486,14636.885047902313,0.34353247278030813,0.6077319307255238,0.6156687426674254,0.24064516129032257,1.0,5.0,5.194688399824583,10.780255237544981,3.9543289930544634,,,,,,,
