kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw_ref,64,300.20196479329775,600,0.7933333333333333,0.1504424778761062,99.82910134838146,29968.892368333363,14270.901127777792,-0.0007643894223084774,0.13843995233374629,0.6496311167410387,0.3233333333333333,1.0,5.0,0.33956204584532995,2.3397957103038802,0.0,,,,,,,
evidence,pf,64,300.20196479329775,600,0.7933333333333333,0.1415929203539823,57.059192125746016,17129.28158566722,8156.800755079627,-0.0007643894223084774,0.13843995233374629,0.6496311167410387,0.3233333333333333,1.0,5.0,0.33956204584532995,2.3397957103038802,23.11686674485129,,,,,,,
evidence,raw_ref,32,600.4260301958244,1200,0.815,0.14771519659936239,99.9104420403617,59988.83008940438,28566.109566383035,0.0,0.17633320627080218,0.6199521663251735,0.3466666666666667,1.0,5.0,0.5600016756157744,3.68042894125995,0.0,,,,,,,
evidence,pf,32,600.4260301958244,1200,0.815,0.09139213602550478,70.8952903704415,42567.377756704445,20270.179884144974,0.0,0.17633320627080218,0.6199521663251735,0.3466666666666667,1.0,5.0,0.5600016756157744,3.68042894125995,18.91533721134541,,,,,,,
evidence,raw_ref,16,1230.418222554145,2460,0.8426829268292683,0.14476945959345563,109.7888897046848,135086.2505266313,64326.785965062525,0.0001395222975428651,0.22253134835405397,0.6137016157604551,0.32439024390243903,1.0,5.0,0.5853807330006313,4.134894554772125,0.0,,,,,,,
evidence,pf,16,1230.418222554145,2460,0.8426829268292683,0.09519087754090233,80.29270488080071,98793.60722349933,47044.57486833301,0.0001395222975428651,0.22253134835405397,0.6137016157604551,0.32439024390243903,1.0,5.0,0.5853807330006313,4.134894554772125,16.60100429601723,,,,,,,
evidence,raw_ref,15,1320.321095208463,2640,0.8412878787878788,0.15487748497457235,160.0,211251.37523335408,100595.89296826384,0.0020086325508183434,0.2027632244764333,0.6118441113531048,0.32083333333333336,1.0,5.0,0.48606887554018124,4.026999372877075,0.0,,,,,,,
evidence,pf,15,1320.321095208463,2640,0.8412878787878788,0.09431345353675451,78.36462527787532,103466.46787248514,49269.7466059453,0.0020086325508183434,0.2027632244764333,0.6118441113531048,0.32083333333333336,1.0,5.0,0.48606887554018124,4.026999372877075,21.136088871242887,,,,,,,
evidence,raw_ref,8,2490.367292091773,4980,0.8566265060240964,0.1757532281205165,112.57913079562607,280363.38510554883,133506.37385978515,0.003463498044539001,0.21697324685401273,0.619353119297906,0.30160642570281126,1.0,5.0,0.6609513435372463,4.59626000304268,0.0,,,,,,,
evidence,pf,8,2490.367292091773,4980,0.8566265060240964,0.07867049258727882,86.76544253767977,216077.8201797059,102894.20008557422,0.003463498044539001,0.21697324685401273,0.619353119297906,0.30160642570281126,1.0,5.0,0.6609513435372463,4.59626000304268,19.088532431701292,,,,,,,
