kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw_ref,15,1323.87969924812,220,0.9590909090909091,0.11538461538461539,72.56780758955816,96071.0472867597,45748.11775559985,-0.02130301871493696,0.8004452274131211,0.4299805181064231,0.6727272727272727,1.0,5.0,2.3576670114632647,11.261608909510146,0.0,,,,,,,
evidence,pf,15,1323.87969924812,220,0.9590909090909091,0.019230769230769232,22.004623414686424,29131.4742283032,13872.130584906285,-0.02130301871493696,0.8004452274131211,0.4299805181064231,0.6727272727272727,1.0,5.0,2.3576670114632647,11.261608909510146,9.469041660167797,,,,,,,
evidence,raw_ref,1,20100.0,3350,0.9764179104477612,0.09554531490015361,77.08206910931051,1549349.5890971413,737785.5186176862,-1.0,0.8415270035395053,0.4888739338354595,0.524179104477612,0.8280597014925373,3.0,1.7760918494476372,10.928814196556154,0.0,,,,,,,
evidence,pf,1,20100.0,3350,0.9764179104477612,0.007987711213517665,21.782241375273834,437823.05164300406,208487.16744904954,-1.0,0.8415270035395053,0.4888739338354595,0.524179104477612,0.8280597014925373,3.0,1.7760918494476372,10.928814196556154,23.90988826880578,,,,,,,
rate_point,raw_ref,1,20100.0,,,0.09554531490015361,,1549349.5890971413,,,,,,,,,,,,,,,,,
rate_point,raw_ref,15,1323.87969924812,,,0.11538461538461539,,96071.0472867597,,,,,,,,,,,,,,,,,
rate_slope,raw_ref,,,2,,,,,,,,,,,,,,,nan,,,,,,
rate_point,pf,1,20100.0,,,0.007987711213517665,,437823.05164300406,,,,,,,,,,,,,,,,,
rate_point,pf,15,1323.87969924812,,,0.019230769230769232,,29131.4742283032,,,,,,,,,,,,,,,,,
rate_slope,pf,,,2,,,,,,,,,,,,,,,nan,,,,,,
pair,,,,166,,,,,,,,,,,,,,,,raw_ref:S1_vs_S15,1000.0,2.9432519194658884,2.8199025184271083,0.5559541335480744,0.9961052745098143
pair,,,,166,,,,,,,,,,,,,,,,pf:S1_vs_S15,1000.0,19.65520342565639,3.9574625382432025,17.031621533108478,-0.9418274827298121
