kind,method,strip_width,rate,n,valid_frac,jump_ge3_frac,step_p999_px,speed_p999_px_s,speed_p999_arcmin_s,max_ncc_p10,max_ncc_med,ess_frac_med,resampled_frac,multi_hyp_frac,hyp_count_med,hyp_margin_p10,hyp_margin_med,rms_vs_immediate_arcmin,loglog_speed_rate_slope,label,grid_hz,rms_all_arcmin,rms_hf25_arcmin,rms_slow50_arcmin,corr_slow50
evidence,raw_ref,15,1323.87969924812,220,0.8772727272727273,0.2727272727272727,81.36661715924974,107719.61265362447,51295.05364458308,0.002953988433848342,0.8371265977295312,0.4069927467434815,0.7545454545454545,1.0,5.0,0.44462966333957227,5.49977920742788,0.0,,,,,,,
evidence,pf,15,1323.87969924812,220,0.8772727272727273,0.06951871657754011,56.33118946705997,74575.71816994023,35512.24674759058,0.002953988433848342,0.8371265977295312,0.4069927467434815,0.7545454545454545,1.0,5.0,0.44462966333957227,5.49977920742788,13.241417094034485,,,,,,,
evidence,raw_ref,1,20100.0,3350,0.9229850746268656,0.12446912773603398,90.81733479553857,1825428.4293903252,869251.6330430119,-0.017893029320093647,0.12164581611733057,0.5338240536954946,0.4349253731343284,0.8797014925373134,3.0,0.8754687373538999,4.19780384522801,0.0,,,,,,,
evidence,pf,1,20100.0,3350,0.9229850746268656,0.005227049983665469,17.43182814015834,350379.7456171827,166847.49791294412,-0.017893029320093647,0.12164581611733057,0.5338240536954946,0.4349253731343284,0.8797014925373134,3.0,0.8754687373538999,4.19780384522801,33.23792966959709,,,,,,,
rate_point,raw_ref,1,20100.0,,,0.12446912773603398,,1825428.4293903252,,,,,,,,,,,,,,,,,
rate_point,raw_ref,15,1323.87969924812,,,0.2727272727272727,,107719.61265362447,,,,,,,,,,,,,,,,,
rate_slope,raw_ref,,,2,,,,,,,,,,,,,,,nan,,,,,,
rate_point,pf,1,20100.0,,,0.005227049983665469,,350379.7456171827,,,,,,,,,,,,,,,,,
rate_point,pf,15,1323.87969924812,,,0.06951871657754011,,74575.71816994023,,,,,,,,,,,,,,,,,
rate_slope,pf,,,2,,,,,,,,,,,,,,,nan,,,,,,
pair,,,,164,,,,,,,,,,,,,,,,raw_ref:S1_vs_S15,1000.0,4.842647617058509,4.726956891198095,0.5726649559217569,0.9981174229776262
pair,,,,164,,,,,,,,,,,,,,,,pf:S1_vs_S15,1000.0,19.335392308306623,3.7659569808525344,17.120048379257778,-0.8788989452216731
